word	type	identifier
8-Nitroguanosine	Chemical	MESH:C481144
8-Aminoguanosine	Chemical	MESH:C032533
8-Aminoguanine	Chemical	MESH:C033495
Guanine	Chemical	MESH:D006147
ONOO	Chemical	MESH:C113914
Guanine Nucleotides	Chemical	MESH:D006150
Guanosine	Chemical	MESH:D006151
8-Nitroguanine	Chemical	MESH:C095838
8-NH2-GS	Chemical	MESH:C510946
8-NO2	Chemical	MESH:C090700
Forodesine	Chemical	MESH:C113101
8-NO2-GS	Chemical	MESH:C466311
8-NO2-GN	Chemical	MESH:C520765
8-NO2-GS	Chemical	MESH:C466311
8-NH2	Chemical	MESH:C098609
8-Nitroguanosine	Chemical	MESH:C481144
8-Aminoguanosine	Chemical	MESH:C032533
8-Aminoguanine	Chemical	MESH:C033495
8-Nitroguanosine	Chemical	MESH:C481144
8-Aminoguanosine	Chemical	MESH:C032533
8-Aminoguanine	Chemical	MESH:C033495
8-Nitroguanine	Chemical	MESH:C095838
8-Nitroguanine	Chemical	MESH:C095838
8-NH2-GN	Chemical	MESH:C520765
Guanine	Chemical	MESH:D006147
Guanosine	Chemical	MESH:D006151
