organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	CUL	CUL	CUL1	8454	famplex_relations	7	4	9
9606	Homo sapiens	Primates	CUL	CUL	CUL2	8453	famplex_relations	7	4	9
9606	Homo sapiens	Primates	CUL	CUL	CUL3	8452	famplex_relations	7	4	9
9606	Homo sapiens	Primates	CUL	CUL	CUL4A	8451	famplex_relations	7	4	9
9606	Homo sapiens	Primates	CUL	CUL	CUL4B	8450	famplex_relations	7	4	9
9606	Homo sapiens	Primates	CUL	CUL	CUL5	8065	famplex_relations	7	4	9
9606	Homo sapiens	Primates	CUL	CUL	CUL7	9820	famplex_relations	7	4	9
9606	Homo sapiens	Primates	SİRBX1/ROC1-	ROC1	RIT1	6016	ncbigene_synonym	7	4	9
9606	Homo sapiens	Primates	SİRBX1/ROC1-	ROC1	RBX1	9978	ncbigene_synonym	7	4	9
9606	Homo sapiens	Primates	CDKN1A	CDKN1A	CDKN1A	1026	ncbigene_symbol	7	4	9
9606	Homo sapiens	Primates	CDKN1A	CDKN1A	CDPF1	150383	ncbigene_synonym	7	4	9
9606	Homo sapiens	Primates	HIF1A	HIF1A	HIF1A	3091	ncbigene_symbol	7	4	9
9606	Homo sapiens	Primates	DEPTOR	DEPTOR	DEPTOR	64798	ncbigene_symbol	7	4	9
9606	Homo sapiens	Primates	DDIT4	DDIT4	DDIT4	54541	ncbigene_symbol	7	4	9
9606	Homo sapiens	Primates	TSC1/2	TSC2	TSC2	7249	ncbigene_symbol	7	4	9
9606	Homo sapiens	Primates	TSC1/2	TSC1	TSC1	7248	ncbigene_symbol	7	4	9
9606	Homo sapiens	Primates	TSC1/2	TSC1	CCL26	10344	ncbigene_synonym	7	4	9
9606	Homo sapiens	Primates	MTOR	MTOR	MTOR	2475	ncbigene_symbol	7	4	9
7955	Danio rerio	Vertebrates	RBX1/ROC1	RBX1	rbx1	449846	ncbigene_symbol	6	2	8
7955	Danio rerio	Vertebrates	CDKN1A	CDKN1A	cdkn1a	100151416	ncbigene_symbol	6	2	8
7955	Danio rerio	Vertebrates	HIF1A	HIF1A	hif1ab	393202	ncbigene_synonym	6	2	8
7955	Danio rerio	Vertebrates	DEPTOR	DEPTOR	deptor	768177	ncbigene_symbol	6	2	8
7955	Danio rerio	Vertebrates	DDIT4	DDIT4	ddit4	378866	ncbigene_symbol	6	2	8
7955	Danio rerio	Vertebrates	TSC1/2	TSC2	tsc2	567524	ncbigene_symbol	6	2	8
7955	Danio rerio	Vertebrates	TSC1/2	TSC1	tsc1b	100330617	ncbigene_synonym	6	2	8
7955	Danio rerio	Vertebrates	MTOR	MTOR	mtor	324254	ncbigene_symbol	6	2	8
