organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
7955	Danio rerio	Vertebrates	Th2	TH2	th2	414844	ncbigene_symbol	3	7
7955	Danio rerio	Vertebrates	IL-10	IL10	il10	553957	ncbigene_symbol	3	7
7955	Danio rerio	Vertebrates	IL-4	IL-4	il13	794053	ncbigene_synonym	3	7
7955	Danio rerio	Vertebrates	IL-4	IL-4	il4	100188894	ncbigene_synonym	3	7
7955	Danio rerio	Vertebrates	TNF-a	TNF-A	tnfb	554167	ncbigene_synonym	3	7
7955	Danio rerio	Vertebrates	NKT	NKT	eda	798740	ncbigene_synonym	3	7
7955	Danio rerio	Vertebrates	TNF-a/IL-4	TNF-A	tnfb	554167	ncbigene_synonym	3	7
7955	Danio rerio	Vertebrates	TNF-a/IL-4	IL-4	il13	794053	ncbigene_synonym	3	7
7955	Danio rerio	Vertebrates	TNF-a/IL-4	IL-4	il4	100188894	ncbigene_synonym	3	7
7955	Danio rerio	Vertebrates	IL-6	IL6	il6	100885851	ncbigene_symbol	3	7
7955	Danio rerio	Vertebrates	HMGB1	HMGB1	hmgb1a	321622	ncbigene_synonym	3	7
