organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	Wnt	WNT	WNT1	7471	famplex_relations	22	4	25
9606	Homo sapiens	Primates	Wnt	WNT	WNT2	7472	famplex_relations	22	4	25
9606	Homo sapiens	Primates	Wnt	WNT	WNT2B	7482	famplex_relations	22	4	25
9606	Homo sapiens	Primates	Wnt	WNT	WNT3	7473	famplex_relations	22	4	25
9606	Homo sapiens	Primates	Wnt	WNT	WNT3A	89780	famplex_relations	22	4	25
9606	Homo sapiens	Primates	Wnt	WNT	WNT4	54361	famplex_relations	22	4	25
9606	Homo sapiens	Primates	Wnt	WNT	WNT6	7475	famplex_relations	22	4	25
9606	Homo sapiens	Primates	Wnt	WNT	WNT7A	7476	famplex_relations	22	4	25
9606	Homo sapiens	Primates	Wnt	WNT	WNT7B	7477	famplex_relations	22	4	25
9606	Homo sapiens	Primates	Wnt	WNT	WNT8A	7478	famplex_relations	22	4	25
9606	Homo sapiens	Primates	Wnt	WNT	WNT8B	7479	famplex_relations	22	4	25
9606	Homo sapiens	Primates	Wnt	WNT	WNT9A	7483	famplex_relations	22	4	25
9606	Homo sapiens	Primates	Wnt	WNT	WNT9B	7484	famplex_relations	22	4	25
9606	Homo sapiens	Primates	Wnt	WNT	WNT10A	80326	famplex_relations	22	4	25
9606	Homo sapiens	Primates	Wnt	WNT	WNT10B	7480	famplex_relations	22	4	25
9606	Homo sapiens	Primates	Wnt	WNT	WNT11	7481	famplex_relations	22	4	25
9606	Homo sapiens	Primates	Wnt	WNT	WNT16	51384	famplex_relations	22	4	25
9606	Homo sapiens	Primates	Wnt	WNT	WNT5A	7474	famplex_relations	22	4	25
9606	Homo sapiens	Primates	Wnt	WNT	WNT5B	81029	famplex_relations	22	4	25
9606	Homo sapiens	Primates	B-catenin	CTNNB1	CTNNB1	1499	ncbigene_symbol	22	4	25
9606	Homo sapiens	Primates	KLF4	KLF4	KLF4	9314	ncbigene_symbol	22	4	25
9606	Homo sapiens	Primates	CTBP1	CTBP1	CTBP1	1487	ncbigene_symbol	22	4	25
9606	Homo sapiens	Primates	CTBP2	CTBP2	CTBP2	1488	ncbigene_symbol	22	4	25
