organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
7227	Drosophila melanogaster	Invertebrates	Drosha	DROSHA	drosha	35747	ncbigene_symbol	4	6
7227	Drosophila melanogaster	Invertebrates	Drosha	DROSHA	drosha	35747	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	SBE	SBE	sbe	5658326	ncbigene_symbol	4	6
7227	Drosophila melanogaster	Invertebrates	Pol	POL	Polr2A	32100	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	Pol	POL	Prim1	38942	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	Pol	POL	PolA1	42553	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	Pol	POL	PolA2	43278	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	Pol	POL	sv	43825	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	Pol	POL	Prim2	44915	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	Pol	POI	svr	30998	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	RNAPolII	RNAPOLII	Polr2A	32100	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	RNAPolII	RNAPOLII	Polr2B	41721	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	RNAPolII	RNAPOLII	Polr2I	41741	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	RNAPolII	RNAPOLII	Polr2F	48312	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	AAA	AAA	tRNA:Lys-TTT-1-1	3772008	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	AAA	AAA	tRNA:Lys-TTT-2-4	3772033	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	AAA	AAA	tRNA:Lys-TTT-2-1	3772125	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	AAA	AAA	tRNA:Lys-TTT-2-2	3772333	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	AAA	AAA	tRNA:Lys-TTT-2-5	3772413	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	AAA	AAA	tRNA:Lys-TTT-2-3	3772688	ncbigene_synonym	4	6
