organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
7227	Drosophila melanogaster	Invertebrates	ATP	ATP	ATPsynbeta	43829	ncbigene_synonym	7	7	9
7227	Drosophila melanogaster	Invertebrates	ATP	ATP	Atpalpha	48971	ncbigene_synonym	7	7	9
7227	Drosophila melanogaster	Invertebrates	+4(P,+ADP)	ADP	adp	37073	ncbigene_symbol	7	7	9
7227	Drosophila melanogaster	Invertebrates	PS	PS	ps	44258	ncbigene_symbol	7	7	9
7227	Drosophila melanogaster	Invertebrates	C,P	CP	cp	45277	ncbigene_symbol	7	7	9
7227	Drosophila melanogaster	Invertebrates	(Hox)	HOX	Ho	41407	ncbigene_synonym	7	7	9
7227	Drosophila melanogaster	Invertebrates	(Hox)	HOX	tin	42536	ncbigene_synonym	7	7	9
7227	Drosophila melanogaster	Invertebrates	red	RED	red	41738	ncbigene_symbol	7	7	9
7227	Drosophila melanogaster	Invertebrates	red	RED	trc	40165	ncbigene_synonym	7	7	9
7227	Drosophila melanogaster	Invertebrates	Fd	FD	fd	43940	ncbigene_symbol	7	7	9
7227	Drosophila melanogaster	Invertebrates	Fd	FD	anon-16Fb	5657869	ncbigene_synonym	7	7	9
7227	Drosophila melanogaster	Invertebrates	(Hup)	HUP	hup	5656928	ncbigene_symbol	7	7	9
7227	Drosophila melanogaster	Invertebrates	(Hup)	HUP	Humeral-patch	44020	ncbigene_synonym	7	7	9
7227	Drosophila melanogaster	Invertebrates	(PSI)	PSI	Psi	36889	ncbigene_symbol	7	7	9
9606	Homo sapiens	Primates	ATP	ATP	ATP8A2	51761	ncbigene_synonym	1	5	5
9606	Homo sapiens	Primates	+4(P,+ADP)	ADP	WDTC1	23038	ncbigene_synonym	1	5	5
9606	Homo sapiens	Primates	C,P	CP	CP	1356	ncbigene_symbol	1	5	5
9606	Homo sapiens	Primates	red	RED	IK	3550	ncbigene_synonym	1	5	5
9606	Homo sapiens	Primates	red	RED	DYRK3	8444	ncbigene_synonym	1	5	5
9606	Homo sapiens	Primates	NADPH	NADPH	DECR1	1666	ncbigene_synonym	1	5	5
