organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	CB1R	CB1R	CNR1	1268	ncbigene_synonym	5	25	20
9606	Homo sapiens	Primates	AC	ADCY	ADCY1	107	famplex_relations	5	25	20
9606	Homo sapiens	Primates	AC	ADCY	ADCY2	108	famplex_relations	5	25	20
9606	Homo sapiens	Primates	AC	ADCY	ADCY3	109	famplex_relations	5	25	20
9606	Homo sapiens	Primates	AC	ADCY	ADCY4	196883	famplex_relations	5	25	20
9606	Homo sapiens	Primates	AC	ADCY	ADCY5	111	famplex_relations	5	25	20
9606	Homo sapiens	Primates	AC	ADCY	ADCY6	112	famplex_relations	5	25	20
9606	Homo sapiens	Primates	AC	ADCY	ADCY7	113	famplex_relations	5	25	20
9606	Homo sapiens	Primates	AC	ADCY	ADCY8	114	famplex_relations	5	25	20
9606	Homo sapiens	Primates	AC	ADCY	ADCY9	115	famplex_relations	5	25	20
9606	Homo sapiens	Primates	AC	ADCY	ADCY10	55811	famplex_relations	5	25	20
9606	Homo sapiens	Primates	PKA	PKA	PRKAR1A	5573	famplex_relations	5	25	20
9606	Homo sapiens	Primates	PKA	PKA	PRKAR1B	5575	famplex_relations	5	25	20
9606	Homo sapiens	Primates	PKA	PKA	PRKAR2A	5576	famplex_relations	5	25	20
9606	Homo sapiens	Primates	PKA	PKA	PRKAR2B	5577	famplex_relations	5	25	20
9606	Homo sapiens	Primates	PKA	PKA	PRKACA	5566	famplex_relations	5	25	20
9606	Homo sapiens	Primates	PKA	PKA	PRKACB	5567	famplex_relations	5	25	20
9606	Homo sapiens	Primates	PKA	PKA	PRKACG	5568	famplex_relations	5	25	20
9606	Homo sapiens	Primates	AKT	AKT	AKT1	207	ncbigene_synonym	5	25	20
9606	Homo sapiens	Primates	AKT	AKT	AKT2	208	famplex_relations	5	25	20
9606	Homo sapiens	Primates	AKT	AKT	AKT3	10000	famplex_relations	5	25	20
9606	Homo sapiens	Primates	p38	P38	CRK	1398	ncbigene_synonym	5	25	20
9606	Homo sapiens	Primates	p38	P38	MAPK14	1432	ncbigene_synonym	5	25	20
