organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
4081	Solanum lycopersicum	Plants and Fungi	IDI-2	IDI2	IDI2	100134905	ncbigene_symbol	11	2	13
4081	Solanum lycopersicum	Plants and Fungi	PSY-1	PSY1	Psy1	543988	ncbigene_symbol	11	2	13
4081	Solanum lycopersicum	Plants and Fungi	PDS	PDS	pds	544073	ncbigene_symbol	11	2	13
4081	Solanum lycopersicum	Plants and Fungi	Z-ISO	Z-ISO	Z-ISO	101253762	ncbigene_symbol	11	2	13
4081	Solanum lycopersicum	Plants and Fungi	ZDS	ZDS	zds	543629	ncbigene_symbol	11	2	13
4081	Solanum lycopersicum	Plants and Fungi	CRTISO	CRTISO	CRTISO	101267857	ncbigene_symbol	11	2	13
4081	Solanum lycopersicum	Plants and Fungi	-PSY-2	PSY2	PSY2	543964	ncbigene_symbol	11	2	13
4081	Solanum lycopersicum	Plants and Fungi	CYC-B	CYC-B	NSY	543649	ncbigene_synonym	11	2	13
4081	Solanum lycopersicum	Plants and Fungi	LCY-e	LCY-E	CrtL-e-1	544129	ncbigene_synonym	11	2	13
4081	Solanum lycopersicum	Plants and Fungi	|CYP97A29	CYP97A29	CYP97A29	100322875	ncbigene_symbol	11	2	13
4081	Solanum lycopersicum	Plants and Fungi	CYP97C11	CYP97C11	CYP97C11	100322877	ncbigene_symbol	11	2	13
4081	Solanum lycopersicum	Plants and Fungi	ZEP	ZEP	ZEP	544162	ncbigene_symbol	11	2	13
4081	Solanum lycopersicum	Plants and Fungi	NCED1	NCED1	NCED1	544163	ncbigene_symbol	11	2	13
9606	Homo sapiens	Primates	IDI-2	IDI2	IDI2	91734	ncbigene_symbol	2	9	8
9606	Homo sapiens	Primates	МЕР	MEP	CTSL	1514	ncbigene_synonym	2	9	8
9606	Homo sapiens	Primates	МЕР	MEP	NLN	57486	ncbigene_synonym	2	9	8
9606	Homo sapiens	Primates	IPP	IPP	IPP	3652	ncbigene_symbol	2	9	8
9606	Homo sapiens	Primates	PDS	PDS	SLC26A4	5172	ncbigene_synonym	2	9	8
9606	Homo sapiens	Primates	PDS	PDS	PTGDS	5730	ncbigene_synonym	2	9	8
9606	Homo sapiens	Primates	GGPPS-1	GGPPS1	GGPS1	9453	ncbigene_synonym	2	9	8
9606	Homo sapiens	Primates	-PSY-2	PSY2	PPP4R3B	57223	ncbigene_synonym	2	9	8
9606	Homo sapiens	Primates	CHL	CHL	CHRDL1	91851	ncbigene_synonym	2	9	8
9606	Homo sapiens	Primates	CHL	CHL	KLHDC8B	200942	ncbigene_synonym	2	9	8
9606	Homo sapiens	Primates	pand/or	PAND	PAND1	387572	ncbigene_synonym	2	9	8
3702	Arabidopsis thaliana	Plants and Fungi	IDI-2	IDI2	IPP2	820960	ncbigene_synonym	6	6	11
3702	Arabidopsis thaliana	Plants and Fungi	PSY-1	PSY1	PSY1	835979	ncbigene_symbol	6	6	11
3702	Arabidopsis thaliana	Plants and Fungi	PDS	PDS	PDS3	827061	ncbigene_synonym	6	6	11
3702	Arabidopsis thaliana	Plants and Fungi	Z-ISO	Z-ISO	Z-ISO	837626	ncbigene_symbol	6	6	11
3702	Arabidopsis thaliana	Plants and Fungi	ZDS	ZDS	ZDS	819647	ncbigene_symbol	6	6	11
3702	Arabidopsis thaliana	Plants and Fungi	CRTISO	CRTISO	CRTISO	837193	ncbigene_symbol	6	6	11
3702	Arabidopsis thaliana	Plants and Fungi	CHL	CHL	CHL	823942	ncbigene_symbol	6	6	11
3702	Arabidopsis thaliana	Plants and Fungi	CHY1&2	CHY2	BETA-OHASE 2	835334	ncbigene_synonym	6	6	11
3702	Arabidopsis thaliana	Plants and Fungi	CHY1&2	CHY1	CHY1	836724	ncbigene_symbol	6	6	11
3702	Arabidopsis thaliana	Plants and Fungi	CHY1&2	CHY1	BETA-OHASE 1	828675	ncbigene_synonym	6	6	11
3702	Arabidopsis thaliana	Plants and Fungi	ZEP	ZEP	ABA1	836838	ncbigene_synonym	6	6	11
3702	Arabidopsis thaliana	Plants and Fungi	NCED1	NCED1	CCD1	825527	ncbigene_synonym	6	6	11
